,Training,Validation,Testing
Adam-Gibbs,0.30429694056510925,0.3552227318286896,0.49669796228408813
MYEGA,0.33589476346969604,0.5124396085739136,0.5315206050872803
Avramov-Milchev,0.29739299416542053,0.4524086117744446,0.4937582314014435
CG Free Volume,0.31274527311325073,0.4752824306488037,0.5087586641311646
