,name,nb_layers,nb_neurons,loss_ag_train,loss_ag_valid,loss_am_train,loss_am_valid,loss_myega_train,loss_myega_valid,loss_cg_train,loss_cg_valid,loss_tvf_train,loss_tvf_valid,loss_Sconf_train,loss_Sconf_valid,loss_d_train,loss_d_valid,loss_raman_train,loss_raman_valid,loss_train,loss_valid,loss_ri_train,loss_ri_valid
4,l4_n300_p0.01_m4.pth,0.0,0.0,0.31311927470381,0.3383752181387495,0.28648331562113716,0.3739924803987657,0.314950797953778,0.3738258576997025,0.29280229290135446,0.29280229290135446,0.322256631436711,0.322256631436711,0.3689744161392246,0.9560366074564054,0.010415773645258652,0.01618420910148783,0.0781327392797868,0.10159617562626619,41.76191401202468,54.25252821982439,0.0027884898852414282,0.0033379106517779544
32,l4_n300_p0.01_m32.pth,0.0,0.0,0.2621020314627642,0.3168522434791177,0.2652398430509237,0.3714616658262202,0.2701388021497307,0.36952171635981507,0.2416119042097458,0.2416119042097458,0.25261975597505104,0.25261975597505104,0.2670187428348371,0.916230459174021,0.010065360116847725,0.015334367972637495,0.06033783636200907,0.10051060142309684,39.53884748003366,55.782876304355995,0.00267079995562627,0.00359699985582326
6,l4_n300_p0.01_m6.pth,0.0,0.0,0.29773254518089265,0.3762292582475546,0.2779421864511861,0.4063944926425646,0.30237896884160187,0.41460845150727016,0.28196071524694666,0.28196071524694666,0.30906915863856177,0.30906915863856177,0.3633732627916359,0.8443667665386508,0.010490599197200995,0.0160367786020043,0.07705827768407661,0.10840393602326862,41.7220131284956,56.11758188842657,0.0027857791540462245,0.0035280095723135355
9,l4_n300_p0.01_m9.pth,0.0,0.0,0.30451438338426734,0.33451191469891595,0.2821872776237617,0.36639430223843744,0.3120550325563341,0.3777394567579757,0.28295616694867026,0.28295616694867026,0.31490085547746816,0.31490085547746816,0.34433233180243555,0.7799224254961965,0.009869148968750253,0.01796594198070338,0.07722993662442805,0.10875288688867299,41.119547738767764,56.76150912549322,0.0027864853989736016,0.0034164084285398717
45,l4_n300_p0.01_m45.pth,0.0,0.0,0.30073840591663337,0.32226883857743144,0.2826184650384359,0.3535472054891533,0.30081374748346995,0.351179391018864,0.2814371493000825,0.2814371493000825,0.29780310564945245,0.29780310564945245,0.33978732506632753,1.0586235914915765,0.009607311087466082,0.018219123533163226,0.07689256427217014,0.10535470218103059,39.740649432198346,56.99614903006467,0.002679228886083446,0.0034005072171754275
8,l4_n300_p0.01_m8.pth,0.0,0.0,0.27864897212224465,0.3486116440274158,0.26860118116714143,0.4039164794570954,0.28978691314968913,0.40379252280713757,0.2670399760499641,0.2670399760499641,0.2826389349193572,0.2826389349193572,0.3114240601457064,0.7782061216666041,0.009298198405656787,0.01727887665238803,0.06722157301887034,0.09919806719143681,39.37730137516103,57.117467713555214,0.0027036531471572737,0.0035370424038410875
11,l4_n300_p0.01_m11.pth,0.0,0.0,0.30455316125168164,0.332036971996594,0.28006980223905703,0.36033688233616024,0.3122566587006909,0.35725330067091526,0.28862972338922344,0.28862972338922344,0.31371627388881457,0.31371627388881457,0.36782825646888895,0.8787246516493606,0.010196403216932406,0.01715515887660343,0.07786205566996447,0.10812092819567791,41.21323295429751,57.29393901898979,0.002759253474802746,0.0035445663774541737
48,l4_n300_p0.01_m48.pth,0.0,0.0,0.282897850456344,0.316733697125444,0.26975608514952326,0.37302400608767616,0.28037593708485486,0.3707285640176089,0.2531974729938794,0.2531974729938794,0.2810905189816171,0.2810905189816171,0.30650228064452417,0.8034978795074037,0.009575724090490345,0.01872471965292968,0.06502145480183662,0.09944804066219787,38.7495487510938,57.3101125530406,0.0026199575419255977,0.003419815994815333
19,l4_n300_p0.01_m19.pth,0.0,0.0,0.27631752457587827,0.3360283529163294,0.26138087425946505,0.3895982982528814,0.28812948641314784,0.39019750090575495,0.2655601282002613,0.2655601282002613,0.2983968776997192,0.2983968776997192,0.3031252767620593,0.7874569563228319,0.009980186730312967,0.01627738341125708,0.07000872104252333,0.11203297211375542,39.55907011961155,58.06248021518487,0.002648579880053758,0.0037077199247354904
29,l4_n300_p0.01_m29.pth,0.0,0.0,0.30803428105599406,0.3415820509331306,0.28621279278946926,0.372490352915326,0.31582094144080297,0.3794854446730925,0.2956152086067951,0.2956152086067951,0.31497977562723606,0.31497977562723606,0.38643666778183633,0.851291613408903,0.01028693045510258,0.017571011567584012,0.0747642578400604,0.10333032487407715,41.20109536736094,58.36576967406211,0.002751178008815502,0.003617270716283207
