Name,sio2,tio2,al2o3,feot,mno,bao,sro,mgo,cao,li2o,na2o,k2o,p2o5,h2o,T,viscosity,ScTg,Tg,Source
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1112.4,12.05,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1132.8,11.61,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1148.4,11.31,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1170.5,10.98,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1185,10.65,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1190.3,10.58,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1201.7,10.38,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1209.5,10.22,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1211.5,10.21,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1227.4,9.91,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1227,9.95,Le Losq and Neuville 2013,,
NAK83 8 0,83,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,1258.8,9.43,Le Losq and Neuville 2013,,
NAK83.8.2,83,0,8.5,0,0,0,0,0,0,0,6.4,2.1,0,0,1270.9,9.86,Le Losq and Neuville 2013,,
NAK83.8.2,83,0,8.5,0,0,0,0,0,0,0,6.4,2.1,0,0,1250.1,10.19,Le Losq and Neuville 2013,,
NAK83.8.2,83,0,8.5,0,0,0,0,0,0,0,6.4,2.1,0,0,1235.2,10.38,Le Losq and Neuville 2013,,
NAK83.8.2,83,0,8.5,0,0,0,0,0,0,0,6.4,2.1,0,0,1216.9,10.67,Le Losq and Neuville 2013,,
NAK83.8.2,83,0,8.5,0,0,0,0,0,0,0,6.4,2.1,0,0,1204.5,10.9,Le Losq and Neuville 2013,,
NAK83.8.2,83,0,8.5,0,0,0,0,0,0,0,6.4,2.1,0,0,1188.3,11.29,Le Losq and Neuville 2013,,
NAK83.8.2,83,0,8.5,0,0,0,0,0,0,0,6.4,2.1,0,0,1168.2,11.67,Le Losq and Neuville 2013,,
NAK83.8.2,83,0,8.5,0,0,0,0,0,0,0,6.4,2.1,0,0,1150.5,12.02,Le Losq and Neuville 2013,,
NAK83.8.2,83,0,8.5,0,0,0,0,0,0,0,6.4,2.1,0,0,1136.7,12.32,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1264.2,9.88,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1253.9,10.03,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1240.9,10.19,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1233.9,10.31,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1220.1,10.45,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1216.9,10.51,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1197.2,10.78,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1182.1,11.04,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1174.1,11.24,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1157.7,11.54,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1150.6,11.64,Le Losq and Neuville 2013,,
NAK83.8.4,83,0,8.5,0,0,0,0,0,0,0,4.3,4.3,0,0,1135.2,11.91,Le Losq and Neuville 2013,,
NAK83.8.6,83,0,8.5,0,0,0,0,0,0,0,2.1,6.4,0,0,1264.8,10.69,Le Losq and Neuville 2013,,
NAK83.8.6,83,0,8.5,0,0,0,0,0,0,0,2.1,6.4,0,0,1255.5,10.87,Le Losq and Neuville 2013,,
NAK83.8.6,83,0,8.5,0,0,0,0,0,0,0,2.1,6.4,0,0,1248.4,10.94,Le Losq and Neuville 2013,,
NAK83.8.6,83,0,8.5,0,0,0,0,0,0,0,2.1,6.4,0,0,1237.5,11.16,Le Losq and Neuville 2013,,
NAK83.8.6,83,0,8.5,0,0,0,0,0,0,0,2.1,6.4,0,0,1226.8,11.34,Le Losq and Neuville 2013,,
NAK83.8.6,83,0,8.5,0,0,0,0,0,0,0,2.1,6.4,0,0,1212.5,11.58,Le Losq and Neuville 2013,,
NAK83.8.6,83,0,8.5,0,0,0,0,0,0,0,2.1,6.4,0,0,1195.5,11.89,Le Losq and Neuville 2013,,
