Wavenumber,I
80.4297,0.0729741602944027
81.9141,0.0746393057941608
83.3984,0.0977686633810682
84.8828,0.0725518945708385
86.3652,0.0603173225469843
87.8496,0.0530839601865938
89.332,0.0591239270352706
90.8164,0.0828310134099841
92.2988,0.0696137663673277
93.7812,0.0614694811716312
95.2617,0.0618084483833204
96.7441,0.0510138684558395
98.2246,0.0590080513826128
99.707,0.0564237356701353
101.188,0.0530006616747188
102.668,0.0444910176596103
104.146,0.0484464598670594
105.627,0.0587470218874799
107.105,0.0610340196442056
108.586,0.0451978179039355
110.064,0.0336760667099184
111.543,0.0348426170081516
113.021,0.0380323726965441
114.498,0.0356394373769437
115.977,0.0278732119618758
117.453,0.0355282627294116
118.93,0.0232179385440157
120.406,0.0206090044099593
121.883,0.0270090517565036
123.359,0.038860533099507
124.834,0.0145183574270774
126.311,0.0265114874771553
127.785,0.0275318942476237
129.26,0.0244968181226189
130.734,0.0260759022390685
132.209,0.0170224673942099
133.682,0.011111448291391
135.154,0.00498752314064618
136.629,0.00908189242062346
138.102,0.0150659420504376
139.574,0.014119431781593
141.047,0.00665827685704537
142.518,0.00878919299622318
143.99,0.00713848040693847
145.461,0.0114420031781186
146.932,0.00305866774809578
148.402,0
149.873,0.00724845918474567
151.342,0.00222230120460658
152.812,0.00750870517902436
154.281,0.00605811520267491
155.75,0.00165846924774198
157.219,0.0101034950608168
158.688,0.0115296728000227
160.156,0.0127450888094301
161.625,0.00286126676970692
163.092,0.0163680792333466
164.559,0.0123808846228559
166.025,0.0153502703867634
167.492,0.0256320283866813
168.959,0.0236111734990848
170.426,0.0192676509474498
171.891,0.0175931034374405
173.355,0.0192242285053685
174.82,0.0205737881084042
176.285,0.024527745787919
177.75,0.0298907266616198
179.215,0.0331425026281608
180.678,0.0229390947136698
182.143,0.0354185726098138
183.605,0.0318338087802083
185.068,0.0380437953142616
186.531,0.0310724933711807
187.994,0.0375653649505124
189.455,0.0396147557639591
190.916,0.0396188794526658
192.379,0.0402584635710721
193.84,0.0510584042938717
195.301,0.0520501514278286
196.762,0.0523350983174604
198.221,0.0567136309862151
199.682,0.0568567229843369
201.141,0.0638496742931279
202.6,0.0657572926888389
204.059,0.068159341360481
205.518,0.0714801478759719
206.977,0.0726805536584869
208.434,0.0714739623429118
209.893,0.080877622069629
211.35,0.0887967538619406
212.807,0.0902078801373671
214.264,0.089990561742525
215.721,0.0877196463717554
217.176,0.100597101464981
218.633,0.101795033034272
220.088,0.107878298614369
221.543,0.10085565674689
222.998,0.110694778001033
224.453,0.115221351094357
225.908,0.125916137755137
227.361,0.134839387747525
228.816,0.13220682487718
