Wavenumber,I
80.4297,0.0515179674345802
81.9141,0.0711232796898872
83.3984,0.090094699984401
84.8828,0.0523895688806708
86.3652,0.0469421657737476
87.8496,0.0377086564921753
89.332,0.0535433708921947
90.8164,0.0793185366509171
92.2988,0.0529319363337558
93.7812,0.0530535452861273
95.2617,0.0534594734267956
96.7441,0.0512925459618917
98.2246,0.0444731226884924
99.707,0.048026476955345
101.188,0.0422053487752805
102.668,0.0499086615073793
104.146,0.0503107761268932
105.627,0.0598801718772628
107.105,0.0532658312970613
108.586,0.0355465171149431
110.064,0.032649046114208
111.543,0.0299650899256678
113.021,0.0245558220302897
114.498,0.0344847480806145
115.977,0.0329458651774002
117.453,0.029682508008119
118.93,0.0230454981632769
120.406,0.0275993932636996
121.883,0.0305040675821711
123.359,0.0364963804896156
124.834,0.0121881915741165
126.311,0.0242110373454652
127.785,0.0153330753528645
129.26,0.0206050141142231
130.734,0.0247288711457896
132.209,0.0197972679612418
133.682,0.0119134485611631
135.154,0.0148120636182446
136.629,0.0270635511690345
138.102,0.020253746443436
139.574,0.0171821246433118
141.047,0.0159079001082201
142.518,0.0164301406441008
143.99,0.0131379702038745
145.461,0.0243889169210942
146.932,0.0166278929021905
148.402,0.0108082477581305
149.873,0.0136327533874428
151.342,0.0109779918219632
152.812,0.0206510306028208
154.281,0.0144620671211757
155.75,0.012524883119602
157.219,0.0142652046846887
158.688,0.0235093070805791
160.156,0.0209933153126662
161.625,0.0172484375389429
163.092,0.0357358796264929
164.559,0.018774057863031
166.025,0.0280951086413279
167.492,0.0359021491488293
168.959,0.0394485967051465
170.426,0.0362018071666588
171.891,0.0279629489470957
173.355,0.031143679824696
174.82,0.0386640282862932
176.285,0.0432930497534597
177.75,0.0411951893939095
179.215,0.0426409376360394
180.678,0.0424197534090782
182.143,0.0526967691958947
183.605,0.0529823595579098
185.068,0.0629720900844204
186.531,0.0596361065233745
187.994,0.0605729615536644
189.455,0.0524480428717065
190.916,0.0595403447699392
192.379,0.0567768131066417
193.84,0.0697449036548202
195.301,0.0651652884728332
196.762,0.0712465835405495
198.221,0.0814630067134667
199.682,0.0744842630007237
201.141,0.0886959851698433
202.6,0.0772105069016216
204.059,0.0839464564341945
205.518,0.0982382625475587
206.977,0.0919018852870634
208.434,0.0962416723608893
209.893,0.10821570506146
211.35,0.102889910906909
212.807,0.114574963448883
214.264,0.116881720022785
215.721,0.112205071913645
217.176,0.124329950562105
218.633,0.121833789104195
220.088,0.137456937825054
221.543,0.134448069634151
222.998,0.131946399756796
224.453,0.143134847099539
225.908,0.152213993519268
227.361,0.154298718417064
228.816,0.150991971851536
230.27,0.163133799482905
231.723,0.149251311306791
233.176,0.160009254483648
